# R.D. Deslattes, E.G. Kessler Jr., P. Indelicato, L. de Billy, E. Lindroth, J. Anton, J.S. Coursey, D.J. Schwab, C. Chang, R. Sukumar, K. Olsen, and R.A. Dragoset (2005), X-ray Transition Energies (version 1.2). [Online] Available: http://physics.nist.gov/XrayTrans [2009, May 22]. National Institute of Standards and Technology, Gaithersburg, MD. 
# Elements: All (Neon - Fermium)
# Transitions: All
# Energy Range: 0 eV - 200000 eV
# Sorted by Energy
# Downloaded: 22-May-2009
# Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Y		L2M3	1855.4	1.3								
Sr		L1M1	1858.4	1.8								
Rb		L2 edge	1871.98	0.36	1866.08	0.42	1865.9	1.7				1d
Sr		L2M4	1872.19	0.92	1871.74	0.13						1d
Sr		L2M5	1873.88	0.89								
Zr		L2M1	1877.4	1.3	1876.56	0.13						1d
Zr		L3M2	1879.2	1.4								
Zr		L3M3	1892.6	1.3								
Kr		L1N1	1898.7	2.5								
Nb		L3M1	1903.2	1.4	1902.27	0.13						1d
Sr		L3N1	1904.0	2.2	1901.83	0.13						1d
Kr		L1N2	1910.9	1.2								
Kr		L1N3	1911.5	1.2								
Sr		L3N2	1920.88	0.76								
Y		L3M4	1921.07	0.88	1920.48	0.13						1d
Sr		L3N3	1922.04	0.50								
Y		L3M5	1923.26	0.86	1922.564	0.088						1d
Kr		L1 edge	1925.49	0.79	1916.3	4.4	1920.4	1.2				1d
Sr		L1M2	1936.4	1.9	1936.44	0.13						1d
Sr		L1M3	1946.6	1.8	1947.20	0.14						1d
Sr		L3 edge	1950.46	0.31	1941.17	0.45	1940.48	0.26				1d
Rb		L1M4	1953.0	1.4								
P		KL1	1954.45	0.27								
Rb		L1M5	1954.5	1.3								
Zr		L2M2	1963.5	1.4								
Sr		L2N1	1970.7	2.2	1969.19	0.14						1d
Zr		L2M3	1976.8	1.3								
Y		L1M1	1977.5	1.8								
Sr		L2N2	1987.67	0.82								
Sr		L2N3	1988.82	0.55								
Nb		L3M2	1993.2	1.4								
Y		L2M4	1996.20	0.93	1995.85	0.14						1d
Nb		L2M1	1997.5	1.3	1996.21	0.14						1d
Y		L2M5	1998.39	0.91								
Nb		L3M3	2008.4	1.3								
P		KL2	2013.14	0.45	2012.70	0.48						1d
P		KL3	2014.73	0.44	2013.68	0.48						1d
Mo		L3M1	2016.7	1.4	2015.71	0.15						1d
Sr		L2 edge	2017.25	0.36	2008.46	0.48	2007.44	0.23				1d
Rb		L1N1	2031.6	2.5								
Y		L3N1	2036.7	2.4	2034.43	0.15						1d
Zr		L3M4	2040.34	0.89	2040.19	0.16						3d
Zr		L3M5	2043.11	0.87	2042.489	0.027						3d
Rb		L1N2	2050.4	1.2	2050.72	0.15					L1N2,3	1d
Rb		L1N3	2051.4	1.2	2050.72	0.15					L1N2,3	1d
Y		L3N2	2053.95	0.69								
Y		L3N3	2057.16	0.56								
Y		L1M2	2059.6	1.9	2059.99	0.15						1d
Y		L1M3	2071.3	1.8	2072.17	0.15						1d
Rb		L1 edge	2072.55	0.81	2063.6	2.5	2066.07	0.37				1d
Sr		L1M4	2080.5	1.4								
Sr		L1M5	2082.2	1.4								
Y		L3N4	2082.77	0.66								
Nb		L2M2	2087.5	1.5								
Y		L3 edge	2089.76	0.31	2079.54	0.52	2078.26	0.54				1d
Zr		L1M1	2101.0	1.8								
Nb		L2M3	2102.7	1.3								
Mo		L3M2	2110.8	1.4								
Y		L2N1	2111.8	2.4	2110.19	0.16						1d
Mo		L2M1	2121.7	1.3	2120.26	0.16						1d
Zr		L2M4	2124.59	0.94	2124.394	0.028						3d
Zr		L2M5	2127.36	0.93								
Mo		L3M3	2128.0	1.2								
Y		L2N2	2129.08	0.74								
Y		L2N3	2132.30	0.61								
Tc		L3M1	2133.6	1.4								
P		KM1	2136.1	1.0	2139.1	1.1					KM	1d
P		KM4			2139.1	1.1					KM	1d
P		KM5			2139.1	1.1					KM	1d
P		KM3	2140.82	1.00	2139.1	1.1					KM	1d
P		KM2	2143.79	0.58	2139.1	1.1					KM	1d
P		K edge	2154.24	0.12	2143.54	0.55	2144.5	2.5				1d
Y		L2N4	2157.90	0.71								
Nb		L3M4	2162.80	0.90	2163.02	0.17						1d
Y		L2 edge	2164.89	0.36	2153.97	0.55	2153.47	0.31				1d
Nb		L3M5	2166.57	0.88	2165.89	0.11						1d
Zr		L3N1	2173.7	2.5	2171.28	0.17						1d
Sr		L1N1	2179.0	2.7								
Zr		L1M2	2187.1	1.9	2187.714	0.036						3d
Zr		L3N2	2191.80	0.78								
Sr		L1N2	2195.9	1.3	2196.52	0.17					L1N2,3	1d
Zr		L3N3	2196.60	0.62								
Sr		L1N3	2197.1	1.0	2196.52	0.17					L1N2,3	1d
Zr		L1M3	2200.4	1.8	2201.063	0.032						3d
Y		L1M4	2212.1	1.4								
Y		L1M5	2214.3	1.4								
Mo		L2M2	2215.7	1.5								
Zr		L3N5			2219.40	0.18					L3N4,5	1d
Zr		L3N4	2225.22	0.81	2219.40	0.18					L3N4,5	1d
Sr		L1 edge	2225.51	0.83	2217.1	2.9	2216.17	0.63				1d
Nb		L1M1	2228.7	1.8								
Tc		L3M2	2231.9	1.4								
Mo		L2M3	2232.9	1.3								
Zr		L3 edge	2233.28	0.32	2222.30	0.59	2221.29	0.59				1d
S		KL1	2242.56	0.23								
Tc		L2M1	2249.9	1.3								
Tc		L3M3	2251.2	1.2								
Ru		L3M1	2253.8	1.4	2252.79	0.18						1d
Nb		L2M4	2257.11	0.96	2257.38	0.18						1d
Zr		L2N1	2257.9	2.6	2255.17	0.18						1d
Nb		L2M5	2260.88	0.94								
Zr		L2N2	2276.06	0.83								
Zr		L2N3	2280.86	0.66								
Mo		L3M4	2289.60	0.92	2289.875	0.050						1d
Mo		L3M5	2293.71	0.89	2293.187	0.050						1d
S		KL2	2307.01	0.45	2306.700	0.038						3d
S		KL3	2308.80	0.44	2307.885	0.034						3d
Zr		L2N4	2309.48	0.86	2302.66	0.19						1d
Nb		L3N1	2314.8	2.7	2312.54	0.19						1d
Zr		L2 edge	2317.53	0.36	2305.36	0.63	2305.68	0.64				1d
Nb		L1M2	2318.7	2.0	2319.38	0.19						1d
Y		L1N1	2327.7	2.9								
Nb		L3N2	2332.68	0.93								
Nb		L1M3	2333.9	1.8	2334.80	0.20						1d
Nb		L3N3	2339.90	0.66								
Y		L1N2	2345.0	1.2	2346.82	0.20					L1N2,3	1d
Tc		L2M2	2348.2	1.5								
Y		L1N3	2348.2	1.1	2346.82	0.20					L1N2,3	1d
Zr		L1M4	2348.2	1.4								
Zr		L1M5	2350.9	1.4								
Ru		L3M2	2356.2	1.4								
Mo		L1M1	2360.9	1.8								
Nb		L3N5			2367.02	0.20					L3N4,5	1d
Tc		L2M3	2367.5	1.3								
Rh		L3M1	2370.2	1.4	2376.55	0.20						1d
Nb		L3N4	2370.34	0.86	2367.02	0.20					L3N4,5	1d
Y		L1N4	2373.8	1.2								
Nb		L3 edge	2375.01	0.30	2370.60	0.67	2368.24	0.44				1d
Ru		L3M3	2377.9	1.2								
Y		L1 edge	2380.76	0.85	2376.5	3.4	2370.78	0.24				1d
Ru		L2M1	2382.6	1.3	2381.99	0.14						1d
Mo		L2M4	2394.52	0.97	2394.831	0.055						1d
Mo		L2M5	2398.63	0.95								
Nb		L2N1	2409.2	2.8	2406.63	0.21						1d
Tc		L3M4	2420.24	0.93								
Tc		L3M5	2424.46	0.90	2423.99	0.21						1d
Nb		L2N2	2426.99	0.98								
Nb		L2N3	2434.21	0.72								
Mo		L1M2	2454.9	2.0	2455.68	0.22						1d
S		KM1	2460.1	1.1								
Mo		L3N1	2461.2	2.9	2455.68	0.36						1d
Nb		L2N4	2464.64	0.91	2461.87	0.22						1d
S		KM3	2467.53	0.72	2464.07	0.14						1d
Nb		L2 edge	2469.32	0.35	2464.37	0.72	2462.54	0.31				1d
S		KM2	2469.73	0.60								
Mo		L1M3	2472.1	1.8	2473.07	0.22						1d
Mo		L3N2	2480.9	1.1								
Zr		L1N1	2481.5	3.1								
S		K edge	2481.71	0.12	2470.506	0.073	2471.63	0.70				1d
Rh		L3M2	2484.1	1.4								
Ru		L2M2	2485.1	1.5								
Mo		L3N3	2488.06	0.72								
Nb		L1M4	2488.3	1.5								
Nb		L1M5	2492.1	1.5								
Tc		L1M1	2497.4	1.8								
Zr		L1N2	2499.6	1.3	2502.87	0.22					L1N2,3	1d
Zr		L1N3	2504.4	1.2	2502.87	0.22					L1N2,3	1d
Pd		L3M1	2504.5	1.3	2503.43	0.22						1d
Ru		L2M3	2506.8	1.3								
Rh		L3M3	2508.4	1.2								
Rh		L2M1	2512.5	1.2	2519.10	0.15						1d
Mo		L3N5	2520.74	0.38	2518.33	0.15					L3N4,5	1d
Mo		L3N4	2521.63	0.86	2518.33	0.15					L3N4,5	1d
Mo		L3 edge	2529.71	0.31	2523.56	0.76	2521.1	1.6				1d
Zr		L1N4	2533.0	1.4								
Tc		L2M4	2536.52	0.99	2536.83	0.61						1d
Tc		L2M5	2540.74	0.96								
Zr		L1 edge	2541.10	0.87	2541.1	3.9	2530.90	0.21				1d
Cl		KL1	2550.96	0.26								
Ru		L3M4	2554.23	0.94	2554.330	0.055						1d
Ru		L3M5	2559.06	0.91	2558.579	0.039						1d
Mo		L2N1	2566.1	2.9	2563.26	0.16						1d
Mo		L2N2	2585.9	1.2								
Mo		L2N3	2592.98	0.78								
Tc		L1M2	2595.6	2.0								
Tc		L3N1	2609.7	3.0								
Pd		L3M2	2614.8	1.3								
Tc		L1M3	2614.9	1.8								0d
Cl		KL2	2621.27	0.44	2620.846	0.039						3d
Cl		KL3	2623.67	0.43	2622.440	0.039						3d
Mo		L2N5	2625.66	0.44								
Rh		L2M2	2626.3	1.5								
Mo		L2N4	2626.55	0.92	2623.52	0.16						1d
Tc		L3N2	2631.7	1.4								
Mo		L1M4	2633.7	1.5								
Ag		L3M1	2634.4	1.4	2633.66	0.17						1d
Mo		L2 edge	2634.63	0.36	2627.30	0.82	2625.98	0.33				1d
Mo		L1M5	2637.8	1.5								
Ru		L1M1	2638.3	1.8								
Tc		L3N3	2638.46	0.80								
Nb		L1N1	2640.4	3.3								
Pd		L3M3	2642.3	1.2								
Rh		L2M3	2650.6	1.3								
Nb		L1N2	2658.2	1.5	2663.88	0.17					L1N2,3	1d
Pd		L2M1	2661.1	1.3	2660.28	0.17						1d
Nb		L1N3	2665.4	1.3	2663.88	0.17					L1N2,3	1d
Tc		L3N4	2675.15	0.86								
Tc		L3N5	2675.49	0.76								
Tc		L3 edge	2682.91	0.31	2677.80	0.86	2677.90	0.54				1d
Ru		L2M4	2683.1	1.0	2683.263	0.026						1d
Ru		L2M5	2687.90	0.97								
Rh		L3M4	2692.06	0.96	2692.078	0.078						1d
Nb		L1N4	2695.8	1.4								
Rh		L3M5	2697.29	0.92	2696.775	0.078						1d
Nb		L1 edge	2700.53	0.88	2710.0	4.4	2695.46	0.25				1d
Tc		L2N1	2726.0	3.0								
Ru		L1M2	2740.7	2.0	2741.15	0.18						1d
Tc		L2N2	2747.9	1.5								
Ag		L3M2	2749.8	1.4								
Tc		L2N3	2754.75	0.86								
Ru		L1M3	2762.5	1.8	2763.39	0.27						1d
Ru		L3N1	2767.1	3.1	2763.39	0.27						1d
Cd		L3M1	2767.9	1.4	2767.376	0.082						1d
Pd		L2M2	2771.4	1.3								
Rh		L1M1	2776.6	1.8								
Ag		L3M3	2780.1	1.2								
Tc		L1M4	2784.0	1.5								
Tc		L1M5	2788.2	1.5								
Tc		L2N4	2791.44	0.91								
Ru		L3N2	2791.6	1.7								
Tc		L2N5	2791.77	0.81								
Ru		L3N3	2797.95	0.87								
Pd		L2M3	2798.9	1.2								
Tc		L2 edge	2799.19	0.36	2794.91	0.93	2794.43	0.79				1d
Mo		L1N1	2805.3	3.4								
Ag		L2M1	2806.8	1.2	2806.11	0.19						1d
Cl		KM1	2807.0	1.3	2815.60	0.28					KM	1d
Cl		KM4			2815.60	0.28					KM	1d
Cl		KM5			2815.60	0.28					KM	1d
Cl		KM3	2817.58	0.49	2815.60	0.28					KM	1d
Cl		KM2	2819.04	0.64	2815.60	0.28					KM	1d
Mo		L1N2	2825.1	1.7	2830.65	0.19					L1N2,3	1d
Mo		L1N3	2832.2	1.3	2830.65	0.19					L1N2,3	1d
Cl		K edge	2832.76	0.12	2819.639	0.095	2822.64	0.71				1d
Pd		L3M4	2833.74	0.98	2833.312	0.067						1d
Rh		L2M4	2834.3	1.0	2834.439	0.038						1d
Ru		L3N4	2837.79	0.83	2835.96	0.19					L3N4,5	1d
Ru		L3N5	2838.40	0.82	2835.96	0.19					L3N4,5	1d
Pd		L3M5	2838.97	0.95	2838.638	0.048						1d
Rh		L2M5	2839.56	0.98								
Ru		L3 edge	2848.19	0.32	2837.77	0.96	2838.62	0.21				1d
Mo		L1N5	2864.87	0.96								
Mo		L1N4	2865.8	1.4								
Mo		L1 edge	2873.84	0.88	2880.6	5.0	2867.20	0.26				1d
Ar		KL1	2880.13	0.33								
Cd		L3M2	2887.7	1.4								
Rh		L1M2	2890.5	2.0	2890.84	0.20						1d
Ru		L2N1	2895.9	3.2	2891.85	0.20						1d
In		L3M1	2904.6	1.4	2904.431	0.091						1d
Rh		L1M3	2914.8	1.8	2915.72	0.20						1d
Ru		L2N2	2920.5	1.8								
Cd		L3M3	2921.4	1.2								
Ag		L2M2	2922.1	1.5								
Rh		L3N1	2926.6	3.2	2922.94	0.20						1d
Ru		L2N3	2926.79	0.93								
Pd		L1M1	2934.0	1.8								
Ru		L1M4	2938.7	1.6								
Ru		L1M5	2943.6	1.5								
Ag		L2M3	2952.4	1.3								
Rh		L3N2	2954.1	2.1								
Ar		KL2	2955.89	0.43	2955.566	0.016						4d
Cd		L2M1	2957.1	1.2	2956.782	0.094						1d
Ar		KL3	2957.90	0.42	2957.682	0.016						4d
Rh		L3N3	2959.86	0.94								
Ru		L2N4	2966.64	0.89	2964.52	0.21						1d
Ru		L2N5	2967.25	0.88								
Tc		L1N1	2973.4	3.6								
Ru		L2 edge	2977.03	0.37	2966.1	1.1	2967.45	0.55				1d
Ag		L3M4	2978.72	0.99	2978.240	0.053						1d
Ag		L3M5	2984.60	0.95	2984.340	0.032						1d
Pd		L2M4	2990.4	1.0	2990.250	0.053						1d
Tc		L1N2	2995.4	2.0								
Pd		L2M5	2995.6	1.0								
Tc		L1N3	3002.2	1.4								
Rh		L3N4	3002.94	0.82	3001.27	0.22					L3N4,5	1d
Rh		L3N5	3003.73	0.86	3001.27	0.22					L3N4,5	1d
Rh		L3 edge	3014.48	0.31	3002.07	0.54	3004.00	0.37				1d
In		L3M2	3028.9	1.4								
Tc		L1N4	3038.9	1.5								
Tc		L1N5	3039.2	1.4								
Pd		L1M2	3044.3	1.9	3045.43	0.22						1d
Sn		L3M1	3044.7	1.4	3045.014	0.100						1d
Tc		L1 edge	3046.63	0.91	3055.3	5.6						1d
In		L3M3	3066.4	1.2								
Rh		L2N1	3068.9	3.3	3065.00	0.22						1d
Pd		L1M3	3071.8	1.8	3072.98	0.23						1d
Cd		L2M2	3076.9	1.5								
Ag		L1M1	3088.0	1.7								
Pd		L3N1	3089.8	3.5	3087.06	0.23						1d
Rh		L2N2	3096.4	2.1								
Rh		L1M4	3098.5	1.6								
Rh		L2N3	3102.1	1.0								
Rh		L1M5	3103.7	1.5								
Cd		L2M3	3110.6	1.3								
In		L2M1	3112.1	1.2	3112.58	0.10						1d
Pd		L3N2	3119.9	2.2								
Pd		L3N3	3125.0	2.4								
Cd		L3M4	3127.5	1.0	3126.950	0.070						1d
Cd		L3M5	3134.06	0.96	3133.755	0.047						1d
Rh		L2N4	3145.21	0.87	3143.81	0.24						1d
Rh		L2N5	3145.99	0.91								
Ag		L2M4	3151.1	1.0	3150.974	0.036						1d
Ru		L1N1	3151.6	3.7								
Rh		L2 edge	3156.74	0.37	3144.76	0.59	3146.39	0.44				1d
Ag		L2M5	3156.9	1.0								
Pd		L3N4	3171.50	0.85	3171.820	0.048					L3N4,5	1d
Pd		L3N5	3171.93	0.84	3171.820	0.048					L3N4,5	1d
Sn		L3M2	3173.4	1.4								
Ru		L1N2	3176.1	2.3	3180.91	0.24					L1N2,3	1d
Ar		KM1	3177.4	1.5								
Pd		L3 edge	3180.38	0.32	3173.01	0.12	3173.75	0.51				1d
Ru		L1N3	3182.5	1.5	3180.91	0.24					L1N2,3	1d
Sb		L3M1	3188.1	1.4	3188.63	0.11						1d
Ar		KM2	3191.31	0.58	3190.49	0.24					KM2,3	1d
Ar		KM3	3191.47	0.58	3190.49	0.24					KM2,3	1d
Ag		L1M2	3203.4	2.1	3203.487	0.061						1d
Ar		K edge	3207.44	0.12	3202.933	0.061	3206.14	0.54				1d
Sn		L3M3	3215.0	1.2								
Ru		L1N4	3222.3	1.5								
Ru		L1N5	3222.9	1.4								
K		KL1	3229.98	0.32								
Ru		L1 edge	3232.69	0.93	3232.9	6.2	3225.1	1.4				1d
Ag		L1M3	3233.6	1.8	3234.49	0.11						1d
In		L2M2	3236.3	1.5								
Pd		L2N1	3246.4	3.6	3243.74	0.25						1d
Cd		L1M1	3247.1	1.7								
Ag		L3N1	3258.1	3.4	3256.06	0.11						1d
Pd		L1M4	3263.2	1.6	3263.72	0.25						1d
Pd		L1M5	3268.5	1.6	3269.58	0.26						1d
Sn		L2M1	3271.8	1.2	3272.37	0.12						1d
In		L2M3	3273.8	1.3								
Pd		L2N2	3276.5	2.2								
In		L3M4	3279.9	1.0	3279.322	0.077						1d
Pd		L2N3	3281.6	2.4								
In		L3M5	3287.28	0.97	3286.982	0.052						1d
Ag		L3N2	3292.7	2.8								
Ag		L3N3	3294.8	1.9								
K		KL2	3311.97	0.44	3311.1956	0.0060						5d
K		KL3	3314.60	0.42	3313.9476	0.0050						5d
Cd		L2M4	3316.7	1.1	3316.605	0.053						1d
Sb		L3M2	3321.3	1.4								
Cd		L2M5	3323.3	1.0								
Pd		L2N4	3328.13	0.90	3328.74	0.26						1d
Pd		L2N5	3328.56	0.89								
Rh		L1N1	3333.0	3.8								
Te		L3M1	3334.8	1.4	3335.58	0.12						1d
Pd		L2 edge	3337.01	0.37	3330.35	0.13	3330.66	0.46				1d
Ag		L3N4	3346.99	0.84	3347.842	0.040					L3N4,5	1d
Ag		L3N5	3347.84	0.92	3347.842	0.040					L3N4,5	1d
Rh		L1N2	3360.5	2.7	3364.06	0.27					L1N2,3	1d
Ag		L3 edge	3360.71	0.32	3350.96	0.13	3352.58	0.48				1d
Rh		L1N3	3366.3	1.6	3364.06	0.27					L1N2,3	1d
Cd		L1M2	3366.9	2.1	3367.23	0.12						1d
Sb		L3M3	3367.3	1.2								
Sn		L2M2	3400.4	1.5								
Cd		L1M3	3400.6	1.9	3401.48	0.12						1d
Rh		L1N4	3409.4	1.4								
Rh		L1N5	3410.1	1.5								
In		L1M1	3410.9	1.7								
Rh		L1 edge	3420.89	0.92	3416.4	7.0	3412.4	1.6				1d
Ag		L2N1	3430.4	3.5	3428.35	0.13						1d
Cd		L3N1	3431.2	3.4	3429.98	0.13						1d
Ag		L1M4	3432.3	1.6	3432.91	0.13						1d
Sn		L3M4	3436.0	1.0	3437.356	0.056						1d
Sb		L2M1	3436.1	1.2	3436.65	0.13						1d
Ag		L1M5	3438.2	1.6	3439.21	0.13						1d
Sn		L2M3	3442.1	1.3								
Sn		L3M5	3444.29	0.98	3444.011	0.042						1d
Ag		L2N2	3465.0	2.9								
Ag		L2N3	3467.1	2.0								
Cd		L3N3	3469.7	1.5								
Cd		L3N2	3470.4	3.5								
Te		L3M2	3472.6	1.4								
I		L3M1	3484.8	1.4	3485.06	0.13						1d
In		L2M4	3487.3	1.1	3487.244	0.058						1d
In		L2M5	3494.8	1.0								
Pd		L1N1	3519.3	4.1								
Ag		L2N4	3519.32	0.89	3519.625	0.059						1d
Ag		L2N5	3520.17	0.97								
Te		L3M3	3523.4	1.2								
Cd		L3N4	3527.42	0.79	3528.159	0.059					L3N4,5	1d
Cd		L3N5	3528.74	0.97	3528.159	0.059					L3N4,5	1d
Ag		L2 edge	3533.04	0.38	3525.83	0.15	3525.24	0.26				1d
In		L1M2	3535.1	2.1	3535.31	0.13						1d
Cd		L3 edge	3546.84	0.32	3537.60	0.15	3538.88	0.45				1d
Pd		L1N2	3549.4	2.8	3553.32	0.30					L1N2,3	1d
Pd		L1N3	3554.5	3.0	3553.32	0.30					L1N2,3	1d
Sb		L2M2	3569.3	1.5								
In		L1M3	3572.6	1.9	3573.14	0.14						1d
K		KM1	3575.0	1.4								
Sn		L1M1	3579.5	1.7								
K		KM3	3591.49	0.61	3589.63	0.31					KM2,3	1d
K		KM2	3591.78	0.72	3589.63	0.31					KM2,3	1d
Sb		L3M4	3595.9	1.0	3595.358	0.093						1d
Ca		KL1	3598.89	0.31								
Pd		L1N4	3601.0	1.5								
Pd		L1N5	3601.4	1.5								
K		KM4			3602.78	0.62					KM4,5	1d
K		KM5			3602.78	0.62					KM4,5	1d
Sb		L3M5	3605.10	0.98	3604.756	0.062						1d
Te		L2M1	3605.2	1.1	3605.90	0.14						1d
Cd		L1M4	3606.7	1.7	3607.60	0.31						1d
Pd		L1 edge	3609.87	0.93	3607.3	1.6	3604.74	0.64				1d
In		L3N1	3609.9	3.6	3608.27	0.14						1d
K		KN1	3611.14	0.17								
Cd		L1M5	3613.3	1.6	3614.49	0.14						1d
Sb		L2M3	3615.3	1.3								
K		K edge	3616.22	0.12	3607.81	0.16	3608.49	0.16				1d
Cd		L2N1	3620.4	3.5	3619.38	0.14						1d
I		L3M2	3627.3	1.4								
Xe		L3M1	3637.8	1.4	3638.008	0.059						12d
In		L3N2	3651.0	3.5								
In		L3N3	3651.1	1.5								
Cd		L2N3	3659.0	1.6								
Cd		L2N2	3659.6	3.5								
Sn		L2M4	3663.1	1.1	3662.839	0.048						1d
Sn		L2M5	3671.3	1.0								
I		L3M3	3683.2	1.2								
Ca		KL2	3687.56	0.43	3688.128	0.049						1d
Ca		KL3	3690.98	0.41	3691.719	0.049						1d
Sn		L1M2	3708.1	2.1	3708.33	0.15						1d
Ag		L1N1	3711.7	4.0								
In		L3N4	3713.24	0.87	3713.847	0.049					L3N4,5	1d
In		L3N5	3714.37	0.92	3713.847	0.049					L3N4,5	1d
Cd		L2N4	3716.67	0.85	3716.898	0.099						1d
Cd		L2N5	3718.0	1.0								
Cd		L2 edge	3736.10	0.39	3728.01	0.17	3728.54	0.33				1d
In		L3 edge	3739.91	0.33	3730.25	0.17	3730.84	0.48				1d
Te		L2M2	3743.0	1.5								
Ag		L1N2	3746.2	3.5	3743.25	0.15						1d
Ag		L1N3	3748.3	2.6	3749.82	0.15						1d
Sn		L1M3	3749.8	1.9	3750.392	0.050						1d
Sb		L1M1	3752.9	1.7								
Te		L3M4	3759.5	1.1	3758.79	0.15						1d
Te		L3M5	3769.73	0.99	3769.38	0.10						1d
I		L2M1	3779.1	1.1	3780.19	0.15						1d
Xe		L3M2	3784.7	1.4								
In		L1M4	3786.1	1.7	3786.83	0.15						1d
Sn		L3N1	3792.9	3.6	3792.66	0.15						1d
In		L1M5	3793.5	1.6	3794.26	0.15						1d
Te		L2M3	3793.7	1.3								
Cs		L3M1	3794.6	1.4	3794.99	0.34						1d
Ag		L1N4	3800.6	1.5								
Ag		L1N5	3801.4	1.6								
Ag		L1 edge	3814.27	0.97	3807.34	0.17	3807.41	0.34				1d
In		L2N1	3817.4	3.7	3815.93	0.16						1d
Sn		L3N2	3824.71	0.66								
Sn		L3N3	3837.9	1.7								
Sb		L2M4	3843.9	1.1	3843.615	0.071						1d
Xe		L3M3	3846.3	1.2								
Sb		L2M5	3853.1	1.0								
In		L2N2	3858.4	3.6								
In		L2N3	3858.6	1.6								
Sb		L1M2	3886.1	2.1	3886.42	0.16						1d
Sn		L3N4	3904.07	0.95	3904.894	0.055					L3N4,5	1d
Sn		L3N5	3905.32	0.95	3904.894	0.055					L3N4,5	1d
Cd		L1N1	3910.4	4.1								
In		L2N4	3920.72	0.93	3920.848	0.073						1d
I		L2M2	3921.6	1.5								
In		L2N5	3921.84	0.98								
I		L3M4	3926.9	1.1	3926.09	0.11						1d
Te		L1M1	3931.2	1.7								
Sb		L1M3	3932.1	1.9	3932.73	0.17						1d
I		L3M5	3938.2	1.0	3937.70	0.11						1d
Sn		L3 edge	3938.45	0.33	3928.84	0.18	3929.51	0.87				1d
Cs		L3M2	3946.5	1.4								
In		L2 edge	3947.38	0.39	3939.32	0.19	3938.71	0.59				1d
Cd		L1N3	3949.0	2.2								
Cd		L1N2	3949.6	4.1	3951.38	0.37						1d
Ba		L3M1	3954.4	1.4	3954.15	0.37						1d
Xe		L2M1	3957.6	1.2	3958.368	0.050						12d
Sn		L1M4	3970.8	1.7	3971.63	0.17						1d
I		L2M3	3977.5	1.3								
Sn		L1M5	3979.0	1.6	3980.00	0.17						1d
Sb		L3N1	3981.4	3.7	3980.00	0.17						1d
Sc		KL1	3991.57	0.39								
Ca		KM1	3993.8	1.4								
Cd		L1N4	4006.6	1.5								
Cd		L1N5	4008.0	1.6								
Cs		L3M3	4013.7	1.2								
Ca		KM2	4014.32	0.59	4012.76	0.38					KM2,3	1d
Ca		KM3	4014.68	0.58	4012.76	0.38					KM2,3	1d
Sn		L2N1	4019.9	3.6	4019.20	0.17						1d
Cd		L1 edge	4026.07	0.98	4019.01	0.19	4019.68	0.22				1d
Sb		L3N2	4028.4	4.1								
Sb		L3N3	4029.3	1.7								
Te		L2M4	4029.9	1.1	4029.63	0.12						1d
Ca		KM4			4032.47	0.58					KM4,5	1d
Ca		KM5			4032.47	0.58					KM4,5	1d
Te		L2M5	4040.1	1.1								
Ca		KN1	4043.20	0.18								
Ca		K edge	4049.35	0.12	4038.12	0.19	4038.34	0.14	4050.48	0.30		1d 17v
Sn		L2N2	4051.76	0.72								
Sn		L2N3	4064.9	1.7								
Te		L1M2	4069.0	2.1	4069.52	0.18						1d
Sc		KL2	4085.43	0.44	4085.9526	0.0085						1,23d
Sc		KL3	4090.15	0.42	4090.735	0.019						23d
Xe		L3M4	4097.7	1.1	4097.378	0.030						12d
Sb		L3N4	4099.59	0.89	4100.826	0.060					L3N4,5	1d
Sb		L3N5	4101.02	0.91	4100.826	0.060					L3N4,5	1d
Xe		L2M2	4104.6	1.4								
Xe		L3M5	4110.3	1.0	4110.088	0.020						12d
Ba		L3M2	4111.1	1.4								
I		L1M1	4114.4	1.7								
In		L1N1	4116.2	4.3								
La		L3M1	4117.4	1.4	4124.5	6.1						1d
Te		L1M3	4119.7	1.9	4120.48	0.18						1d
Sn		L2N4	4131.1	1.0	4131.161	0.061						1d
Sn		L2N5	4132.4	1.0								
Cs		L2M1	4141.8	1.1	4142.13	0.41						1d
Sb		L3 edge	4142.58	0.33	4132.33	0.20	4132.99	0.91				1d
In		L1N2	4157.2	4.2	4160.48	0.41					L1N2,3	1d
In		L1N3	4157.4	2.2	4160.48	0.41					L1N2,3	1d
Sb		L1M4	4160.6	1.7	4161.64	0.19						1d
Sn		L2 edge	4165.49	0.39	4157.27	0.21	4156.23	0.78				1d
Xe		L2M3	4166.2	1.3								
Sb		L1M5	4169.9	1.7	4170.82	0.19						1d
Te		L3N1	4174.4	3.8	4173.25	0.19						1d
Ba		L3M3	4184.6	1.3								
In		L1N4	4219.5	1.5								
In		L1N5	4220.6	1.6								
I		L2M4	4221.2	1.1	4220.76	0.13						1d
Te		L3N2	4224.4	4.4								
Te		L3N3	4226.5	2.0								
Sb		L2N1	4229.4	3.8	4228.78	0.19						1d
I		L2M5	4232.5	1.1								
